S No.,Brand,City - Cold Weather *(km),Highway - Cold Weather *(km),Combined - Cold Weather *(km),City - Mild Weather *(km),Highway - Mild Weather *(km),Combined - Mild Weather *(km),Acceleration 0 - 100 km/h(sec),Top Speed(km/h),Electric Range *(km),Total Power(kW),Total Torque(Nm),Drive,Nominal Capacity(kWh),Range(km),Rated Consumption(Wh/km),Vehicle Consumption(Wh/km),Length(mm),Width(mm),Height(mm),Wheelbase(mm),Gross Vehicle Weight (GVWR),Max. Payload,Cargo Voume
105,Mercedes,330,220,270,450,270,345,12.1,160,310,150,362,Front,100,363,276,248,5140,1928,1901,3200,3500,940,1030
106,Hyundai,385,280,330,580,360,450,8.8,170,390,160,255,Front,68.5,514,157,127,4355,1825,1575,2660,2220,497,466
107,Volkswagen,440,325,380,665,420,525,7.9,160,455,150,310,Rear,82,559,157,138,4261,1809,1562,2770,2280,422,385
108,Skoda,445,335,390,670,435,535,8.7,160,465,150,310,Rear,82,552,167,139,4653,1879,1617,2765,2600,556,575
109,Mercedes,340,245,290,495,310,385,8,160,340,168,390,AWD,69.7,423,181,157,4684,1834,1667,2829,2580,480,495
110,Fisker,520,375,445,750,480,595,3.9,205,525,420,737,AWD,113,707,175,149,4774,1982,1631,2921,2975,616,510
111,Mercedes,515,395,455,750,505,615,3.4,250,540,560,1020,AWD,120,580,215,186,5223,1926,1518,3210,3225,645,610
112,Volvo,395,275,330,570,350,440,4.8,180,390,300,670,AWD,82,535,177,148,4425,1873,1652,2702,2650,555,419
113,Skoda,415,305,360,620,395,490,6.9,160,425,195,425,AWD,82,496,174,155,4653,1879,1604,2768,2746,628,585
114,Mercedes,385,280,335,585,365,455,8.6,160,395,140,385,Front,69.7,496,154,134,4463,1834,1620,2729,2470,505,340
115,Ford,480,345,405,705,435,550,7,180,480,216,430,Rear,98.7,600,173,152,4713,1881,1624,2984,2605,520,322
116,Skoda,415,310,360,615,400,490,6.5,180,430,220,460,AWD,82,505,170,152,4653,1879,1607,2768,2740,562,585
117,Audi,415,305,360,600,385,475,6,200,420,250,664,AWD,95,491,201,181,4915,1937,1633,2928,3170,660,569
118,Audi,385,275,330,560,350,440,6.2,180,385,220,460,AWD,82,488,179,157,4588,1865,1632,2764,2720,585,520
119,Audi,460,330,390,650,415,515,4.5,210,455,370,973,AWD,114,458,262,231,4915,1976,1631,2928,3290,640,569
120,Opel ,305,220,265,475,290,365,8.1,150,315,115,260,Front,51,406,143,118,4061,1765,1435,2538,1961,492,267
121,Lucid,520,405,465,795,535,650,4.2,200,560,320,550,Rear,88,460,170,157,4975,1939,1410,2960,2890,650,456
122,Mercedes,450,340,395,655,435,530,4.2,210,465,350,858,AWD,100,534,196,170,4964,1906,1493,3120,3095,645,430
